"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-01","0.8","0.0","0.0",,"8.3","1.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-02","0.0","0.0","0.0",,"5.6","-1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-03","0.0","0.0","0.0",,"6.1","1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-04","0.0","0.0","0.0",,"7.2","-2.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-05","0.0","0.0","0.0",,"2.8","-3.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-06","10.4","5.0","0.0",,"3.3","-0.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-07","6.1","0.0","0.0",,"3.3","1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-08","0.0","0.0","0.0",,"7.2","2.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-09","43.9","0.0","0.0",,"13.9","2.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-10","5.6","0.0","0.0",,"13.9","6.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-11","0.0","0.0","0.0",,"8.3","5.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-12","2.0","0.0","0.0",,"10.0","4.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-13","20.6","0.0","0.0",,"15.6","1.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-14","0.0","0.0","0.0",,"6.7","-3.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-15","1.0","10.0","0.0",,"-1.6","-4.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-16","7.1","33.0","30.0",,"0.0","-5.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-17","0.0","0.0","30.0",,"-4.3","-8.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-18","0.0","0.0","30.0",,"1.1","-5.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-19","1.0","10.0","30.0",,"0.0","-3.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-20","0.0","0.0","30.0",,"-3.2","-7.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-21","0.0","0.0","30.0",,"-0.5","-6.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-22","0.0","0.0","30.0",,"3.3","-3.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-23","1.3","0.0","30.0",,"4.4","1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-24","1.3","0.0","0.0",,"8.9","3.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-25","6.1","0.0","0.0",,"15.0","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-26","4.8","0.0","0.0",,"7.8","5.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-27","0.0","0.0","0.0",,"9.4","6.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-28","20.8","0.0","0.0",,"6.7","2.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-29","1.3","0.0","0.0",,"4.4","2.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-30","0.0","0.0","0.0",,"3.3","1.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-01-31","0.0","0.0","0.0",,"4.4","1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-01","0.0","0.0","0.0",,"7.8","2.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-02","8.1","0.0","0.0",,"7.8","3.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-03","0.0","0.0","0.0",,"6.1","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-04","0.0","0.0","0.0",,"7.8","-0.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-05","0.0","0.0","0.0",,"7.2","0.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-06","0.0","0.0","0.0",,"5.6","-1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-07","0.0","0.0","0.0",,"8.9","0.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-08","0.0","0.0","0.0",,"11.7","2.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-09","0.0","0.0","0.0",,"12.8","6.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-10","0.0","0.0","0.0",,"15.6","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-11","0.0","0.0","0.0",,"13.3","6.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-12","0.0","0.0","0.0",,"8.9","2.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-13","19.6","81.0","30.0",,"5.0","0.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-14","0.0","0.0","50.0",,"3.3","-1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-15","0.0","0.0","0.0",,"3.9","-2.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-16","0.0","0.0","0.0",,"6.1","2.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-17","4.6","51.0","50.0",,"2.2","-2.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-18","0.0","0.0","0.0",,"4.4","-3.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-19","0.0","0.0","0.0",,"5.0","-0.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-20","0.0","0.0","0.0",,"4.4","-3.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-21","0.0","0.0","0.0",,"6.1","-1.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-22","1.0","0.0","0.0",,"7.2","1.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-23","1.0","0.0","0.0",,"8.3","5.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-24","0.0","0.0","0.0",,"6.7","-2.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-25","0.0","0.0","0.0",,"5.0","-4.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-26","0.3","0.0","0.0",,"12.8","1.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-27","13.2","0.0","0.0",,"12.8","4.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-28","4.3","0.0","0.0",,"16.7","6.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-02-29","0.0","0.0","0.0",,"6.1","-0.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-01","0.0","0.0","0.0",,"8.9","-1.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-02","32.3","0.0","0.0",,"12.8","5.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-03","0.0","0.0","0.0",,"20.0","8.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-04","0.0","0.0","0.0",,"15.0","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-05","10.9","0.0","0.0",,"9.4","5.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-06","30.5","0.0","0.0",,"11.7","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-07","2.8","0.0","0.0",,"12.2","6.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-08","0.0","0.0","0.0",,"13.9","4.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-09","38.9","0.0","0.0",,"9.4","5.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-10","0.8","0.0","0.0",,"10.6","2.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-11","0.0","0.0","0.0",,"11.1","1.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-12","0.0","0.0","0.0",,"18.9","6.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-13","0.0","0.0","0.0",,"16.7","8.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-14","0.0","0.0","0.0",,"23.3","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-15","0.0","0.0","0.0",,"22.8","10.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-16","0.0","0.0","0.0",,"16.1","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-17","0.0","0.0","0.0",,"17.2","8.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-18","0.0","0.0","0.0",,"10.6","3.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-19","0.0","0.0","0.0",,"8.9","2.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-20","0.3","0.0","0.0",,"13.9","1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-21","0.0","0.0","0.0",,"6.1","-1.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-22","0.0","0.0","0.0",,"7.8","-1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-23","93.0","0.0","0.0",,"10.0","1.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-24","0.0","0.0","0.0",,"8.9","-0.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024-03-25","0.0","0.0","0.0",,"11.7","1.7"
